"identifiant";"prenom";"nom";"region";"departement";"numero_circonscription";"profession";"groupe_politique_complet";"groupe_politique_abrege"
"793298";"Lionel";"Tivoli";"Provence-Alpes-Céte d'Azur";"Alpes-Maritimes";"2";"Chef d'entreprise de 10 salariés ou plus";"Rassemblement National";"RN"
"720386";"Fabien";"Di Filippo";"Grand Est";"Moselle";"4";"Ancien cadre du secteur privé";"Droite Républicaine";"DR"
"793832";"Yoann";"Gillet";"Occitanie";"Gard";"1";"Cadre de la fonction publique";"Rassemblement National";"RN"
"346782";"Philippe";"Juvin";"Ile-de-France";"Hauts-de-Seine";"3";"Professeur de médecine";"Droite Républicaine";"DR"
"795374";"Pascal";"Lecamp";"Nouvelle-Aquitaine";"Vienne";"3";"Cadre administratif et commercial d'entreprise";"Les Démocrates";"Dem"
"794058";"Justine";"Gruet";"Bourgogne-Franche-Comté";"Jura";"3";"Masseur Kinésithérapeute";"Droite Républicaine";"DR"
"795108";"élise";"Leboucher";"Pays de la Loire";"Sarthe";"4";"Educatrice spécialisée";"La France insoumise - Nouveau Front Populaire";"LFI-NFP"
"793548";"Caroline";"Colombier";"Nouvelle-Aquitaine";"Charente";"3";"Ancienne avocate / Ancien cadre";"Rassemblement National";"RN"
"267561";"Brigitte";"Baréges";"Occitanie";"Tarn-et-Garonne";"1";"Avocat";"UDR";"UDR"
"720822";"Bruno";"Bilde";"Hauts-de-France";"Pas-de-Calais";"12";"Juriste";"Rassemblement National";"RN"
"841931";"Laurent";"Mazaury";"Ile-de-France";"Yvelines";"11";"(37) - Cadre administratif et commercial d'entreprise";"Libertés, Indépendants, Outre-mer et Territoires";"LIOT"
"719798";"Daniel";"Labaronne";"Centre-Val de Loire";"Indre-et-Loire";"2";"Retraité de l'enseignement supérieur";"Ensemble pour la République";"EPR"
"841853";"Céline";"Hervieu";"Ile-de-France";"Paris";"11";"(31) - Profession libérale";"Socialistes et apparentés";"SOC"
"757225";"Mikaele";"Seo";"Wallis-et-Futuna";"Wallis-et-Futuna";"1";"Profession intermédiaire administrative de la fonction publique";"Ensemble pour la République";"EPR"
"841813";"Florence";"Herouin-Léautey";"Normandie";"Seine-Maritime";"1";"(33) - Cadre de la fonction publique";"Socialistes et apparentés";"SOC"
"841023";"Pierre-Yves";"Cadalen";"Bretagne";"Finistére";"2";"(34) - Professeur, profession scientifique";"La France insoumise - Nouveau Front Populaire";"LFI-NFP"
"795644";"Nathalie";"Da Conceicao Carvalho";"Ile-de-France";"Essonne";"2";"Profession libérale";"Rassemblement National";"RN"
